timestamp,accelX,accelY,accelZ
1727893362012,-0.19824219,-0.9273071,0.021911621
1727893362092,-0.14648438,-1.0169067,0.10003662
1727893362172,-0.33325195,-1.0696411,0.026062012
1727893362252,-0.015136719,-1.0195923,-0.09820557
1727893362332,-0.022949219,-1.0142212,-0.010559082
1727893362412,-0.12939453,-0.92510986,-0.007873535
1727893362492,-0.11352539,-0.84039307,0.044128418
1727893362572,-0.06738281,-0.9595337,0.08538818
1727893362652,-0.18334961,-0.88775635,0.14105225
1727893362732,-0.13671875,-1.0037231,0.13031006
1727893362812,-0.23730469,-1.1721802,0.21697998
1727893362892,-0.091552734,-1.1616821,-0.06036377
1727893362972,-0.28955078,-1.2200317,-0.2883911
1727893363052,-0.12597656,-0.82818604,0.023864746
1727893363132,-0.025878906,-1.0081177,-0.05279541
1727893363212,-0.1850586,-0.8008423,-0.06744385
1727893363292,-0.23706055,-0.99468994,0.059265137
1727893363372,-0.39770508,-1.0825806,-0.059631348
1727893363452,-0.08203125,-1.506897,-0.0960083
1727893363532,-0.026123047,-0.93756104,-0.33843994
1727893363612,-0.028564453,-0.9299927,-0.11456299
1727893363692,-0.26123047,-0.91607666,-0.06109619
1727893363772,-0.006591797,-0.7744751,0.023620605
1727893363852,-0.049072266,-0.9866333,0.10687256
1727893363932,-0.23706055,-0.87579346,0.11541748
1727893364012,-0.08569336,-1.248352,0.21722412
1727893364092,-0.22387695,-1.1182251,0.0067749023
1727893364172,0.032226562,-0.9920044,-0.20928955
1727893364252,-0.26245117,-0.8743286,-0.0020141602
1727893364332,-0.11669922,-0.9639282,-0.01763916
1727893364412,-0.20678711,-0.7564087,-0.027893066
1727893364492,-0.20141602,-1.0901489,-0.024963379
1727893364572,-0.2019043,-0.9968872,0.009460449
1727893364652,-0.25512695,-1.013977,0.08709717
1727893364732,-0.27807617,-1.1365356,0.09857178
1727893364812,0.22802734,-1.138977,-0.3477173
1727893364892,-0.06982422,-0.8789673,-0.093322754
1727893364972,-0.22314453,-0.80059814,-0.051086426
1727893365052,0.07495117,-0.97003174,0.1605835
1727893365132,-0.119140625,-0.881897,0.17108154
1727893365212,-0.16992188,-0.87042236,0.0680542
1727893365292,-0.18481445,-1.2529907,0.21478271
1727893365372,-0.036376953,-1.4033813,-0.25323486
1727893365452,-0.19970703,-0.96099854,-0.24517822
1727893365532,-0.07446289,-0.68536377,-0.061584473
1727893365612,-0.13647461,-1.046936,-0.09967041
1727893365692,-0.25830078,-0.84698486,-0.0869751
1727893365772,-0.13867188,-1.0205688,0.03387451
1727893365852,-0.08300781,-1.0718384,-0.027160645
1727893365932,-0.2602539,-1.0889282,0.11517334
1727893366012,-0.15917969,-1.1738892,-0.24517822
1727893366092,0.35351562,-0.8665161,-0.09503174
1727893366172,-0.21069336,-1.0957642,-0.10601807
1727893366252,-0.107910156,-0.7373657,0.0026245117
1727893366332,0.052246094,-0.9282837,0.041931152
1727893366412,-0.061523438,-0.8945923,0.08343506
1727893366492,-0.19165039,-0.94732666,0.08441162
1727893366572,-0.24536133,-1.102356,0.09954834
1727893366652,0.08129883,-1.3186646,-0.15948486
1727893366732,-0.052978516,-1.0947876,-0.28912354
1727893366812,-0.045410156,-0.75567627,-0.035461426
1727893366892,-0.083496094,-1.0252075,-0.07672119
1727893366972,-0.26098633,-0.7786255,-0.07647705
1727893367052,-0.14941406,-1.0254517,0.07537842
1727893367132,-0.18457031,-1.0281372,0.026550293
1727893367212,-0.24194336,-1.1611938,0.101257324
1727893367292,-0.12988281,-0.9993286,-0.17877197
1727893367372,0.3383789,-1.1629028,0.0053100586
1727893367452,-0.2746582,-0.960022,-0.07989502
1727893367532,-0.030517578,-0.7632446,0.0138549805
1727893367612,0.018798828,-1.0293579,0.15814209
1727893367692,-0.11791992,-0.74102783,0.14349365
1727893367772,-0.06738281,-1.0093384,0.08807373
1727893367852,-0.1796875,-1.4241333,-0.07501221
1727893367932,-0.045410156,-1.1880493,-0.046691895
1727893368012,-0.09643555,-0.5928345,-0.16168213
1727893368092,-0.095458984,-1.0371704,-0.20440674
1727893368172,-0.21582031,-0.9854126,-0.0803833
1727893368252,-0.26513672,-0.73931885,-0.08721924
1727893368332,-0.1262207,-1.0757446,0.0028686523
1727893368412,-0.15551758,-1.1152954,-0.10235596
1727893368492,-0.2512207,-1.1201782,0.012390137
1727893368572,-0.037841797,-1.1126099,-0.2991333
1727893368652,0.16210938,-0.98809814,-0.08087158
1727893368732,-0.16040039,-0.84820557,-0.085510254
1727893368812,0.05053711,-0.8440552,0.03729248
1727893368892,-0.047851562,-0.9319458,0.09710693
1727893368972,-0.14575195,-0.8596802,0.117370605
1727893369052,-0.16552734,-1.3406372,0.1942749
1727893369132,-0.021972656,-1.4180298,-0.2300415
1727893369212,-0.14282227,-0.7437134,-0.14117432
1727893369292,-0.14404297,-0.7979126,-0.06793213
1727893369372,-0.21728516,-1.081604,-0.07647705
1727893369452,-0.2902832,-0.73223877,-0.07086182
1727893369532,-0.1977539,-1.0181274,0.054382324
1727893369612,-0.1484375,-1.0459595,-0.02911377
1727893369692,-0.23583984,-1.2310181,0.10858154
1727893369772,-0.29614258,-1.0112915,-0.27789307
1727893369852,0.34985352,-1.1885376,-0.09161377
1727893369932,-0.4284668,-0.92388916,-0.13555908
1727893370012,0.036132812,-0.79278564,0.11932373
1727893370092,-0.052978516,-1.0357056,0.15350342
1727893370172,-0.13549805,-0.7280884,0.184021
1727893370252,-0.061035156,-1.217102,0.1227417
1727893370332,-0.1850586,-1.2368774,0.047302246
1727893370412,-0.05102539,-0.9998169,-0.22711182
1727893370492,-0.14501953,-0.85772705,-0.09161377
1727893370572,-0.16503906,-0.9573364,-0.023498535
1727893370652,-0.26049805,-0.80596924,-0.06011963
1727893370732,-0.22631836,-0.9385376,-0.0068969727
1727893370812,-0.13867188,-0.9890747,0.042175293
1727893370892,-0.23144531,-1.1585083,0.022155762
1727893370972,-0.22583008,-1.1016235,-0.09234619
1727893371052,0.20019531,-1.005188,-0.18389893
1727893371132,-0.2175293,-0.954895,-0.12188721
1727893371212,-0.10644531,-0.78863525,-0.008605957
1727893371292,0.017578125,-0.96221924,0.13372803
1727893371372,-0.22045898,-0.87213135,0.109069824
1727893371452,-0.09838867,-1.0066528,0.19232178
1727893371532,-0.2824707,-1.1921997,0.2086792
1727893371612,0.03881836,-1.2434692,-0.20220947
1727893371692,-0.1430664,-1.0054321,-0.29327393
1727893371772,-0.05419922,-0.85284424,0.028015137
1727893371852,-0.057373047,-0.81451416,-0.03643799
1727893371932,-0.2512207,-0.86016846,-0.03302002
1727893372012,-0.14208984,-0.9776001,0.0993042
1727893372092,-0.12670898,-1.1604614,0.015808105
1727893372172,-0.19311523,-1.2295532,0.04071045
1727893372252,-0.049072266,-1.0134888,-0.24298096
1727893372332,0.057617188,-0.90338135,-0.07891846
1727893372412,-0.17333984,-0.8364868,-0.013000488
1727893372492,0.018798828,-0.9126587,0.11126709
1727893372572,0.020019531,-0.86798096,0.16400146
1727893372652,-0.24584961,-0.8452759,0.11785889
1727893372732,-0.13110352,-1.2166138,0.21600342
1727893372812,-0.059326172,-1.3010864,0.007751465
1727893372892,-0.015136719,-0.84503174,-0.1729126
1727893372972,-0.24365234,-1.0733032,-0.124572754
1727893373052,-0.016845703,-0.9133911,-0.058898926
1727893373132,-0.22290039,-0.74786377,-0.051086426
1727893373212,-0.2121582,-0.88848877,0.034606934
1727893373292,-0.1538086,-0.9937134,0.031921387
1727893373372,-0.28076172,-1.1362915,0.07879639
1727893373452,-0.12426758,-1.4397583,-0.10430908
