accelX,accelY,accelZ
-0.70751953,-0.1038208,-0.6929321
-0.7080078,-0.109191895,-0.6897583
-0.7133789,-0.09893799,-0.70196533
-0.7067871,-0.0947876,-0.71221924
-0.7175293,-0.10284424,-0.6838989
-0.7043457,-0.09893799,-0.68414307
-0.71484375,-0.10064697,-0.65582275
-0.7248535,-0.109191895,-0.6831665
-0.7116699,-0.105773926,-0.6638794
-0.68969727,-0.101135254,-0.708313
-0.69262695,-0.105529785,-0.72076416
-0.69189453,-0.10333252,-0.74957275
-0.6933594,-0.09942627,-0.72613525
-0.6916504,-0.09576416,-0.68707275
-0.71069336,-0.10015869,-0.70391846
-0.7036133,-0.09942627,-0.70025635
-0.69628906,-0.09991455,-0.71295166
-0.6899414,-0.09967041,-0.7022095
-0.6972656,-0.10235596,-0.7124634
-0.70825195,-0.10284424,-0.70977783
-0.70336914,-0.10235596,-0.673645
-0.7055664,-0.10455322,-0.7095337
-0.6989746,-0.1026001,-0.68218994
-0.68969727,-0.10333252,-0.7058716
-0.6779785,-0.10430908,-0.7268677
-0.6796875,-0.09942627,-0.7349243
-0.67749023,-0.105041504,-0.72857666
-0.67626953,-0.09918213,-0.6890259
-0.69091797,-0.10284424,-0.71832275
-0.6862793,-0.105285645,-0.72320557
-0.6789551,-0.1038208,-0.72320557
-0.6706543,-0.1026001,-0.7234497
-0.6765137,-0.10040283,-0.7385864
-0.67626953,-0.10430908,-0.70928955
-0.68603516,-0.09869385,-0.6951294
-0.6845703,-0.09967041,-0.68048096
-0.69970703,-0.10089111,-0.7251587
-0.6784668,-0.10601807,-0.72491455
-0.6804199,-0.097961426,-0.71661377
-0.6804199,-0.101623535,-0.7139282
-0.6882324,-0.09942627,-0.72369385
-0.689209,-0.10284424,-0.71710205
-0.68530273,-0.09918213,-0.67144775
-0.701416,-0.10357666,-0.7192993
-0.6879883,-0.09698486,-0.70025635
-0.6791992,-0.10357666,-0.73638916
-0.6755371,-0.09869385,-0.73443604
-0.67529297,-0.10357666,-0.7139282
-0.68969727,-0.09503174,-0.72076416
