accelX,accelY,accelZ
-0.8845215,-0.21173096,-0.32110596
-0.93603516,-0.25665283,-0.34649658
-0.9238281,-0.24615479,-0.3147583
-0.91967773,-0.24346924,-0.32037354
-0.8640137,-0.21783447,-0.4356079
-0.98168945,-0.2637329,-0.24176025
-0.9133301,-0.2444458,-0.3345337
-0.9667969,-0.30670166,-0.28155518
-0.93969727,-0.24078369,-0.30914307
-0.9428711,-0.25811768,-0.2949829
-0.8959961,-0.22564697,-0.33892822
-0.87890625,-0.20562744,-0.38336182
-0.8496094,-0.1651001,-0.3748169
-1.0319824,-0.34991455,-0.33184814
-0.9145508,-0.17633057,-0.3567505
-0.9577637,-0.32110596,-0.3562622
-0.9152832,-0.26715088,-0.30255127
-0.8808594,-0.25909424,-0.35113525
-0.9760742,-0.27105713,-0.33795166
-0.9069824,-0.22418213,-0.3164673
-0.92089844,-0.20465088,-0.39093018
-0.83325195,-0.2300415,-0.33013916
-1.0002441,-0.30181885,-0.37872314
-0.8874512,-0.23394775,-0.36309814
-0.93530273,-0.30841064,-0.35430908
-0.9309082,-0.2756958,-0.29742432
-0.98706055,-0.2642212,-0.3826294
-0.907959,-0.28302002,-0.333313
-0.89038086,-0.26324463,-0.347229
-0.89819336,-0.18243408,-0.3928833
-0.83081055,-0.19244385,-0.35992432
-1.0522461,-0.31085205,-0.33843994
-0.8654785,-0.24908447,-0.36749268
-0.95043945,-0.2876587,-0.3838501
-0.9355469,-0.26983643,-0.35430908
-0.9338379,-0.23272705,-0.31817627
-0.87646484,-0.2498169,-0.34796143
-0.92871094,-0.23834229,-0.3587036
-0.9001465,-0.24884033,-0.36480713
-0.8635254,-0.22467041,-0.3875122
-0.9963379,-0.2852173,-0.3567505
-0.8486328,-0.2539673,-0.26226807
-1.0009766,-0.2888794,-0.3579712
-0.8791504,-0.28912354,-0.31427002
-0.9562988,-0.26641846,-0.34820557
-0.9301758,-0.26934814,-0.31793213
-0.93530273,-0.26324463,-0.34381104
-0.9160156,-0.25054932,-0.3550415
-0.8894043,-0.2390747,-0.362854
-0.9616699,-0.28375244,-0.31939697
-0.86694336,-0.24932861,-0.36749268
-0.9511719,-0.28546143,-0.35040283
-0.888916,-0.28985596,-0.30963135
-0.9758301,-0.28619385,-0.3394165
-0.8881836,-0.26568604,-0.31817627
-0.91918945,-0.26446533,-0.3135376
-0.9213867,-0.253479,-0.34918213
-0.8869629,-0.23297119,-0.3604126
-0.9355469,-0.26739502,-0.33795166
-0.96850586,-0.25372314,-0.3640747
-0.90527344,-0.3045044,-0.36480713
-0.95092773,-0.2498169,-0.31695557
-0.94140625,-0.27105713,-0.33868408
-0.9152832,-0.21759033,-0.31866455
-0.9157715,-0.26617432,-0.33966064
-0.92944336,-0.2456665,-0.34527588
-0.89282227,-0.24493408,-0.3513794
-0.91308594,-0.25933838,-0.30181885
-0.9304199,-0.26055908,-0.364563
-0.91186523,-0.2576294,-0.409729
-0.9187012,-0.31085205,-0.32843018
-0.9658203,-0.2805786,-0.36260986
-0.8964844,-0.24542236,-0.27301025
-0.94018555,-0.26934814,-0.29693604
-0.9194336,-0.24029541,-0.3279419
-0.8857422,-0.25982666,-0.32843018
-0.87109375,-0.25933838,-0.36090088
-0.9819336,-0.27642822,-0.3171997
-0.8918457,-0.2774048,-0.32354736
-0.95336914,-0.31671143,-0.35406494
-0.99438477,-0.3328247,-0.31744385
-0.90844727,-0.2263794,-0.27178955
-0.91625977,-0.25982666,-0.3045044
-0.9187012,-0.26153564,-0.32940674
-0.8840332,-0.23492432,-0.35943604
-0.9814453,-0.3045044,-0.32720947
-0.8937988,-0.25909424,-0.35040283
-0.9465332,-0.2695923,-0.33233643
-0.97265625,-0.31793213,-0.3526001
-0.89697266,-0.24664307,-0.2962036
-0.9484863,-0.2901001,-0.2637329
-0.9169922,-0.22027588,-0.3147583
