accelX,accelY,accelZ
-1.0107422,-0.14312744,-0.09527588
-1.0114746,-0.13311768,-0.09918213
-1.0048828,-0.14263916,-0.1104126
-1.0095215,-0.13922119,-0.13238525
-1.0046387,-0.15264893,-0.14093018
-1.0283203,-0.15582275,-0.14581299
-1.0214844,-0.15216064,-0.117004395
-1.0048828,-0.14630127,-0.10748291
-1.0129395,-0.14337158,-0.105041504
-1.0253906,-0.15655518,-0.10650635
-1.0183105,-0.1375122,-0.101135254
-0.99902344,-0.14068604,-0.10333252
-1.0319824,-0.14141846,-0.1116333
-1.0187988,-0.14337158,-0.12359619
-1.0236816,-0.15460205,-0.1482544
-1.0212402,-0.1482544,-0.1182251
-1.0314941,-0.13848877,-0.10430908
-1.0180664,-0.15045166,-0.10040283
-1.0195312,-0.1506958,-0.097229004
-1.0300293,-0.14630127,-0.08502197
-1.0227051,-0.14752197,-0.10821533
-1.0273438,-0.14776611,-0.09942627
-1.0085449,-0.14996338,-0.109191895
-1.0187988,-0.14923096,-0.1260376
-1.0083008,-0.15142822,-0.12408447
-1.0449219,-0.15802002,-0.1296997
-1.0166016,-0.14654541,-0.09844971
-1.0131836,-0.14703369,-0.10601807
-1.0180664,-0.14703369,-0.09307861
-1.012207,-0.13580322,-0.0947876
-1.0258789,-0.1404419,-0.11114502
-1.0109863,-0.13775635,-0.093322754
-1.029541,-0.13653564,-0.10992432
-1.0161133,-0.14678955,-0.12994385
-1.0292969,-0.1494751,-0.13873291
-1.0148926,-0.14459229,-0.109191895
-1.0085449,-0.14215088,-0.10064697
-1.020752,-0.13897705,-0.10333252
-1.0251465,-0.144104,-0.09429932
-1.0141602,-0.14361572,-0.09893799
-1.0063477,-0.14141846,-0.109436035
-1.0275879,-0.1362915,-0.10675049
-1.0249023,-0.13824463,-0.1326294
-1.0236816,-0.13702393,-0.12164307
-1.0290527,-0.15386963,-0.120910645
-1.0390625,-0.14141846,-0.105041504
-1.0161133,-0.13995361,-0.08404541
-1.0119629,-0.14874268,-0.08258057
-1.0205078,-0.14190674,-0.06939697
-1.0332031,-0.14337158,-0.09234619
-1.0124512,-0.14263916,-0.08868408
-1.0285645,-0.13873291,-0.105285645
-1.0178223,-0.1416626,-0.124816895
-1.0146484,-0.1531372,-0.12042236
-1.0070801,-0.14996338,-0.12261963
-1.052002,-0.15679932,-0.12335205
-1.013916,-0.1453247,-0.10430908
-1.0217285,-0.14581299,-0.08062744
-1.026123,-0.14776611,-0.08795166
-1.0109863,-0.1428833,-0.10235596
-1.029541,-0.14215088,-0.101135254
-1.0075684,-0.15045166,-0.12335205
-1.0141602,-0.14630127,-0.12945557
-1.0161133,-0.14239502,-0.13043213
-1.0275879,-0.14996338,-0.117248535
-1.0209961,-0.1416626,-0.09136963
-1.0168457,-0.1453247,-0.09649658
-1.0112305,-0.14605713,-0.08111572
-1.020752,-0.14361572,-0.09307861
-1.0258789,-0.14337158,-0.0869751
-1.0048828,-0.144104,-0.1116333
-1.0200195,-0.14727783,-0.12896729
-1.0070801,-0.15167236,-0.14019775
-1.0454102,-0.14263916,-0.108947754
-1.0095215,-0.14605713,-0.097961426
-1.029541,-0.15216064,-0.11138916
-1.019043,-0.15362549,-0.09844971
-1.0161133,-0.14556885,-0.08380127
-1.0227051,-0.14141846,-0.11505127
-1.012207,-0.14263916,-0.10235596
-1.010498,-0.1416626,-0.11846924
-1.0078125,-0.15338135,-0.13897705
-1.0158691,-0.14923096,-0.12628174
-1.0246582,-0.15045166,-0.12750244
-1.0195312,-0.13189697,-0.09503174
-1.0043945,-0.14776611,-0.10064697
-1.0202637,-0.14898682,-0.08306885
-1.0158691,-0.14459229,-0.097473145
-1.0070801,-0.1453247,-0.12921143
-1.0339355,-0.14093018,-0.12188721
-1.012207,-0.13726807,-0.14263916
-1.019043,-0.15460205,-0.14312744
