timestamp,accelX,accelY,accelZ
1727275915898,0.29760742,-0.18048096,-0.9299927
1727275915978,0.30151367,-0.1807251,-0.92633057
1727275916058,0.29760742,-0.18463135,-0.9326782
1727275916138,0.29638672,-0.1807251,-0.93341064
1727275916218,0.30249023,-0.17999268,-0.9258423
1727275916298,0.3005371,-0.1843872,-0.9234009
1727275916378,0.30029297,-0.1765747,-0.9241333
1727275916458,0.31030273,-0.18145752,-0.93634033
1727275916538,0.3083496,-0.17462158,-0.9248657
1727275916618,0.3095703,-0.17755127,-0.9295044
1727275916698,0.30273438,-0.17510986,-0.9365845
1727275916778,0.30859375,-0.17608643,-0.92193604
1727275916858,0.3076172,-0.1716919,-0.9331665
1727275916938,0.31640625,-0.17120361,-0.9343872
1727275917018,0.30639648,-0.17340088,-0.9089966
1727275917098,0.3095703,-0.17266846,-0.9417114
1727275917178,0.3178711,-0.16851807,-0.93170166
1727275917258,0.3100586,-0.17730713,-0.92633057
1727275917338,0.2849121,-0.20343018,-0.93048096
1727275917418,0.28710938,-0.19830322,-0.9248657
1727275917498,0.28515625,-0.19781494,-0.92437744
1727275917578,0.28442383,-0.20147705,-0.9265747
1727275917658,0.2956543,-0.20050049,-0.927063
1727275917738,0.28955078,-0.20391846,-0.9299927
1727275917818,0.2824707,-0.20880127,-0.923645
1727275917898,0.28881836,-0.20025635,-0.92510986
1727275917978,0.28564453,-0.19830322,-0.9312134
1727275918058,0.28393555,-0.2053833,-0.9326782
1727275918138,0.28100586,-0.20465088,-0.9282837
1727275918218,0.28588867,-0.20220947,-0.9273071
1727275918298,0.27856445,-0.20489502,-0.9212036
1727275918378,0.28857422,-0.21417236,-0.9356079
1727275918458,0.28173828,-0.21588135,-0.92510986
1727275918538,0.28344727,-0.21270752,-0.92852783
1727275918618,0.28466797,-0.20880127,-0.9295044
1727275918698,0.28344727,-0.20806885,-0.93341064
1727275918778,0.28198242,-0.20806885,-0.9246216
1727275918858,0.28442383,-0.2119751,-0.9299927
1727275918938,0.28515625,-0.21270752,-0.9199829
1727275919018,0.28076172,-0.20562744,-0.9212036
1727275919098,0.28735352,-0.2053833,-0.9277954
1727275919178,0.2841797,-0.20489502,-0.9307251
1727275919258,0.28857422,-0.21002197,-0.93756104
1727275919338,0.28735352,-0.20611572,-0.9282837
1727275919418,0.28320312,-0.20050049,-0.9265747
1727275919498,0.29125977,-0.19659424,-0.92510986
1727275919578,0.2866211,-0.2029419,-0.9258423
1727275919658,0.28393555,-0.20123291,-0.92193604
1727275919738,0.2927246,-0.21026611,-0.9273071
1727275919818,0.29077148,-0.20220947,-0.9324341
1727275919898,0.28955078,-0.20758057,-0.93048096
1727275919978,0.29467773,-0.20391846,-0.93048096
1727275920058,0.29492188,-0.19366455,-0.92755127
1727275920138,0.2932129,-0.19708252,-0.9229126
1727275920218,0.29589844,-0.20172119,-0.92633057
1727275920298,0.29736328,-0.19732666,-0.9258423
1727275920378,0.296875,-0.1975708,-0.9224243
1727275920458,0.2919922,-0.2041626,-0.92633057
1727275920538,0.29101562,-0.19805908,-0.92193604
1727275920618,0.29467773,-0.20050049,-0.9273071
1727275920698,0.29125977,-0.1987915,-0.92974854
1727275920778,0.28881836,-0.2029419,-0.92437744
1727275920858,0.29467773,-0.19610596,-0.927063
1727275920938,0.28710938,-0.20220947,-0.9312134
1727275921018,0.2915039,-0.19659424,-0.9234009
1727275921098,0.2956543,-0.20343018,-0.925354
1727275921178,0.29052734,-0.19903564,-0.928772
1727275921258,0.28857422,-0.20050049,-0.92852783
1727275921338,0.28710938,-0.19854736,-0.92681885
1727275921418,0.28442383,-0.20928955,-0.9273071
1727275921498,0.2854004,-0.20733643,-0.92852783
1727275921578,0.29101562,-0.20562744,-0.93218994
1727275921658,0.29052734,-0.20513916,-0.92974854
1727275921738,0.2854004,-0.2041626,-0.9299927
1727275921818,0.2854004,-0.206604,-0.9295044
1727275921898,0.28808594,-0.19903564,-0.9258423
1727275921978,0.28857422,-0.19586182,-0.9212036
1727275922058,0.29833984,-0.19952393,-0.9241333
1727275922138,0.29907227,-0.2000122,-0.9199829
1727275922218,0.29614258,-0.19830322,-0.9204712
1727275922298,0.29956055,-0.19000244,-0.92852783
1727275922378,0.3005371,-0.18927002,-0.92974854
1727275922458,0.30078125,-0.19122314,-0.93536377
1727275922538,0.29882812,-0.18707275,-0.911438
1727275922618,0.30444336,-0.18243408,-0.92926025
1727275922698,0.30395508,-0.18585205,-0.92193604
1727275922778,0.30419922,-0.1843872,-0.9155884
1727275922858,0.30639648,-0.18389893,-0.92071533
1727275922938,0.30517578,-0.18048096,-0.9299927
1727275923018,0.3112793,-0.17803955,-0.9299927
1727275923098,0.3071289,-0.17559814,-0.9312134
1727275923178,0.30444336,-0.17266846,-0.9234009
1727275923258,0.30664062,-0.17486572,-0.9204712
1727275923338,0.3088379,-0.1819458,-0.9260864
1727275923418,0.28930664,-0.1375122,-0.93048096
1727275923498,0.2902832,-0.13116455,-0.92633057
1727275923578,0.2932129,-0.13165283,-0.9458618
1727275923658,0.2927246,-0.1375122,-0.9331665
1727275923738,0.28295898,-0.14508057,-0.9390259
1727275923818,0.29248047,-0.1375122,-0.93585205
1727275923898,0.28808594,-0.1428833,-0.92633057
1727275923978,0.2890625,-0.14239502,-0.93707275
1727275924058,0.30151367,-0.14801025,-0.9380493
1727275924138,0.28808594,-0.15045166,-0.92633057
1727275924218,0.28930664,-0.1453247,-0.9290161
1727275924298,0.29125977,-0.14752197,-0.94122314
1727275924378,0.2919922,-0.1482544,-0.9402466
1727275924458,0.29516602,-0.14752197,-0.94195557
1727275924538,0.2944336,-0.14727783,-0.93634033
1727275924618,0.296875,-0.1506958,-0.9343872
1727275924698,0.29833984,-0.14678955,-0.9385376
1727275924778,0.29052734,-0.15142822,-0.9390259
1727275924858,0.30297852,-0.15216064,-0.94488525
1727275924938,0.2944336,-0.14630127,-0.9331665
1727275925018,0.296875,-0.14459229,-0.93048096
1727275925098,0.29907227,-0.15802002,-0.93341064
1727275925178,0.29638672,-0.14434814,-0.9380493
1727275925258,0.29736328,-0.14581299,-0.93170166
1727275925338,0.30151367,-0.14337158,-0.928772
1727275925418,0.29516602,-0.14874268,-0.9295044
1727275925498,0.2993164,-0.13800049,-0.9404907
1727275925578,0.29760742,-0.1375122,-0.9397583
1727275925658,0.3005371,-0.13897705,-0.93536377
1727275925738,0.30371094,-0.13824463,-0.93536377
1727275925818,0.3034668,-0.14190674,-0.94073486
1727275925898,0.30078125,-0.14239502,-0.9368286
1727275925978,0.30151367,-0.14093018,-0.9421997
1727275926058,0.2993164,-0.14385986,-0.9404907
1727275926138,0.30004883,-0.14556885,-0.9319458
1727275926218,0.29736328,-0.14093018,-0.9351196
1727275926298,0.3010254,-0.14849854,-0.92852783
1727275926378,0.2980957,-0.14874268,-0.93536377
1727275926458,0.2980957,-0.13946533,-0.92974854
1727275926538,0.28808594,-0.14801025,-0.93829346
1727275926618,0.3034668,-0.14752197,-0.9338989
1727275926698,0.29589844,-0.15142822,-0.93756104
1727275926778,0.29492188,-0.14996338,-0.9343872
1727275926858,0.2890625,-0.15557861,-0.9248657
1727275926938,0.29223633,-0.15533447,-0.93292236
1727275927018,0.2927246,-0.15631104,-0.9373169
1727275927098,0.29858398,-0.15924072,-0.9319458
1727275927178,0.29077148,-0.15875244,-0.9373169
1727275927258,0.29077148,-0.15509033,-0.93463135
1727275927338,0.29052734,-0.15631104,-0.9356079
1727275927418,0.2944336,-0.15240479,-0.92926025
1727275927498,0.29785156,-0.15557861,-0.9277954
1727275927578,0.29614258,-0.15631104,-0.94000244
1727275927658,0.2944336,-0.15045166,-0.9295044
1727275927738,0.29516602,-0.15484619,-0.93634033
1727275927818,0.29370117,-0.15484619,-0.93634033
1727275927898,0.2944336,-0.15045166,-0.9338989
1727275927978,0.28930664,-0.15362549,-0.9343872
1727275928058,0.29296875,-0.15216064,-0.93463135
1727275928138,0.29833984,-0.15460205,-0.9365845
1727275928218,0.29345703,-0.14874268,-0.9378052
1727275928298,0.2902832,-0.14801025,-0.93536377
1727275928378,0.2980957,-0.14508057,-0.9429321
1727275928458,0.2932129,-0.14654541,-0.9246216
1727275928538,0.3017578,-0.14874268,-0.9343872
1727275928618,0.28710938,-0.14141846,-0.93170166
1727275928698,0.29101562,-0.144104,-0.93536377
1727275928778,0.29760742,-0.1453247,-0.93463135
1727275928858,0.29077148,-0.14483643,-0.93951416
1727275928938,0.29589844,-0.13800049,-0.93096924
1727275929018,0.30273438,-0.14776611,-0.93218994
1727275929098,0.29736328,-0.14434814,-0.93292236
1727275929178,0.29711914,-0.13897705,-0.93414307
1727275929258,0.30126953,-0.13995361,-0.94000244
1727275929338,0.2993164,-0.13848877,-0.9302368
1727275929418,0.29760742,-0.1350708,-0.93878174
1727275929498,0.29711914,-0.14190674,-0.9307251
1727275929578,0.2939453,-0.14434814,-0.93536377
1727275929658,0.2939453,-0.13824463,-0.93951416
1727275929738,0.2944336,-0.14263916,-0.93951416
1727275929818,0.29492188,-0.14312744,-0.9417114
1727275929898,0.29541016,-0.1416626,-0.9356079
1727275929978,0.2939453,-0.14654541,-0.9373169
1727275930058,0.296875,-0.1494751,-0.9348755
1727275930138,0.29858398,-0.14581299,-0.9360962
1727275930218,0.29711914,-0.15264893,-0.9360962
1727275930298,0.2939453,-0.14971924,-0.93463135
1727275930378,0.2927246,-0.15118408,-0.9414673
1727275930458,0.29418945,-0.15484619,-0.9331665
1727275930538,0.29492188,-0.1506958,-0.93170166
1727275930618,0.2915039,-0.15338135,-0.92852783
1727275930698,0.29125977,-0.15631104,-0.94488525
1727275930778,0.29541016,-0.1482544,-0.9356079
1727275930858,0.28686523,-0.14923096,-0.9338989
1727275930938,0.29711914,-0.15167236,-0.9368286
1727275931018,0.29418945,-0.1506958,-0.9324341
1727275931098,0.29223633,-0.15093994,-0.93414307
1727275931178,0.2902832,-0.15264893,-0.93292236
1727275931258,0.2939453,-0.14630127,-0.92803955
1727275931338,0.29516602,-0.14898682,-0.9417114
1727275931418,0.29418945,-0.14727783,-0.93829346
1727275931498,0.2956543,-0.15167236,-0.93707275
1727275931578,0.29345703,-0.14874268,-0.9368286
1727275931658,0.2915039,-0.14068604,-0.9343872
1727275931738,0.2998047,-0.14898682,-0.93170166
1727275931818,0.29760742,-0.14556885,-0.93292236
1727275931898,0.29614258,-0.14361572,-0.93292236
1727275931978,0.29296875,-0.14337158,-0.9324341
1727275932058,0.29711914,-0.14703369,-0.9302368
1727275932138,0.29907227,-0.14703369,-0.9343872
1727275932218,0.29516602,-0.13970947,-0.9368286
1727275932298,0.29296875,-0.14385986,-0.9380493
1727275932378,0.29614258,-0.13897705,-0.9365845
1727275932458,0.2915039,-0.13897705,-0.940979
1727275932538,0.29614258,-0.14556885,-0.93707275
1727275932618,0.29833984,-0.14459229,-0.9368286
1727275932698,0.30029297,-0.13458252,-0.93951416
1727275932778,0.2919922,-0.13897705,-0.93414307
1727275932858,0.2956543,-0.13580322,-0.9336548
1727275932938,0.30297852,-0.14239502,-0.9368286
1727275933018,0.29541016,-0.13775635,-0.93585205
1727275933098,0.29711914,-0.1296997,-0.9373169
1727275933178,0.29589844,-0.14068604,-0.92633057
1727275933258,0.29541016,-0.14556885,-0.9326782
1727275933338,0.29907227,-0.14239502,-0.9348755
1727275933418,0.2993164,-0.14581299,-0.93829346
1727275933498,0.29589844,-0.1375122,-0.94366455
1727275933578,0.29370117,-0.14801025,-0.93707275
1727275933658,0.29467773,-0.14874268,-0.93951416
1727275933738,0.29541016,-0.14361572,-0.94073486
1727275933818,0.29541016,-0.14874268,-0.93951416
1727275933898,0.29345703,-0.15435791,-0.9402466
1727275933978,0.2932129,-0.15118408,-0.9302368
1727275934058,0.30151367,-0.14703369,-0.9451294
1727275934138,0.29541016,-0.1494751,-0.94122314
1727275934218,0.29296875,-0.15020752,-0.93878174
1727275934298,0.29101562,-0.15240479,-0.9302368
1727275934378,0.28466797,-0.14898682,-0.93951416
1727275934458,0.2919922,-0.15216064,-0.9368286
1727275934538,0.28979492,-0.14801025,-0.9302368
1727275934618,0.29589844,-0.1519165,-0.93463135
1727275934698,0.2932129,-0.1506958,-0.9336548
1727275934778,0.2927246,-0.15533447,-0.9319458
1727275934858,0.29956055,-0.14361572,-0.93951416
1727275934938,0.29858398,-0.144104,-0.9439087
1727275935018,0.2932129,-0.13897705,-0.9331665
1727275935098,0.29223633,-0.14630127,-0.9277954
1727275935178,0.29101562,-0.13800049,-0.9319458
1727275935258,0.29125977,-0.14898682,-0.93170166
1727275935338,0.2998047,-0.14483643,-0.9365845
1727275935418,0.2915039,-0.14459229,-0.9390259
1727275935498,0.29858398,-0.14141846,-0.9336548
1727275935578,0.29418945,-0.14215088,-0.92559814
1727275935658,0.29418945,-0.14630127,-0.93463135
1727275935738,0.296875,-0.13360596,-0.93536377
1727275935818,0.29248047,-0.13531494,-0.93878174
1727275935898,0.29760742,-0.12750244,-0.93536377
1727275935978,0.29174805,-0.13140869,-0.944397
1727275936058,0.29956055,-0.13409424,-0.9451294
1727275936138,0.29663086,-0.1350708,-0.94000244
1727275936218,0.29760742,-0.1338501,-0.9348755
1727275936298,0.29541016,-0.12872314,-0.9380493
