accelX,accelY,accelZ
-0.7675781,-0.55255127,0.28045654
-0.83032227,-0.45587158,0.2711792
-0.79589844,-0.505188,0.29632568
-0.90063477,-0.73443604,0.30926514
-0.81469727,-0.6123657,0.29071045
-0.8552246,-0.6790161,0.36102295
-0.7338867,-0.55010986,0.3624878
-0.78881836,-0.6043091,0.29388428
-0.8173828,-0.6033325,0.2765503
-0.8112793,-0.5796509,0.25482178
-0.77441406,-0.5588989,0.39764404
-0.83374023,-0.63116455,0.30438232
-0.7648926,-0.5615845,0.30340576
-0.93725586,-0.6296997,0.1954956
-0.7019043,-0.6152954,0.25360107
-0.8171387,-0.67437744,0.30145264
-0.81762695,-0.5276489,0.22796631
-0.8540039,-0.5527954,0.20379639
-0.80737305,-0.52178955,0.3817749
-0.9135742,-0.6668091,0.32196045
-0.75268555,-0.5186157,0.27679443
-0.8527832,-0.53790283,0.26800537
-0.78930664,-0.60406494,0.2892456
-0.85717773,-0.5342407,0.26116943
-0.8195801,-0.5664673,0.2772827
-0.8503418,-0.53082275,0.27288818
-0.8430176,-0.5393677,0.27020264
-0.8457031,-0.49395752,0.27142334
-0.7409668,-0.5274048,0.35638428
-0.7766113,-0.5425415,0.2897339
-0.8198242,-0.56915283,0.22259521
-0.8378906,-0.54473877,0.25506592
-0.84033203,-0.5862427,0.26190186
-0.79711914,-0.5913696,0.27923584
-0.83081055,-0.51348877,0.27313232
-0.8256836,-0.5725708,0.2662964
-0.8317871,-0.5737915,0.3163452
-0.8166504,-0.5647583,0.27386475
-0.8173828,-0.54644775,0.2723999
-0.79956055,-0.5286255,0.3925171
-0.76293945,-0.5774536,0.27996826
-0.79956055,-0.51397705,0.26312256
-0.84765625,-0.5835571,0.26727295
-0.81591797,-0.5935669,0.27386475
-0.86279297,-0.5288696,0.21429443
-0.7524414,-0.57818604,0.29193115
-0.83618164,-0.56866455,0.22869873
-0.88061523,-0.52008057,0.25579834
-0.8654785,-0.5557251,0.24163818
-0.7541504,-0.6067505,0.27923584
-0.78100586,-0.52056885,0.26239014
-0.8312988,-0.5586548,0.23968506
-0.79125977,-0.5515747,0.37200928
-0.88500977,-0.5894165,0.307312
-0.8288574,-0.45367432,0.26922607
-0.845459,-0.59698486,0.2711792
-0.81347656,-0.5315552,0.31488037
-0.8417969,-0.5479126,0.28753662
-0.8046875,-0.51568604,0.22747803
-0.83496094,-0.54034424,0.28948975
-0.8190918,-0.5342407,0.26678467
-0.8605957,-0.52545166,0.26654053
-0.86035156,-0.5315552,0.28070068
-0.8564453,-0.5112915,0.2670288
-0.8442383,-0.51446533,0.26385498
-0.8720703,-0.49713135,0.24505615
-0.8544922,-0.5154419,0.2526245
-0.7390137,-0.49127197,0.37078857
-0.86450195,-0.5755005,0.3204956
-0.82910156,-0.5227661,0.23138428
-0.83032227,-0.56817627,0.26019287
-0.8652344,-0.5354614,0.28118896
-0.8647461,-0.5264282,0.24554443
-0.82470703,-0.5442505,0.2868042
-0.84033203,-0.5574341,0.2592163
-0.84814453,-0.536438,0.27508545
-0.92700195,-0.57354736,0.12835693
-0.765625,-0.53326416,0.25335693
-0.8503418,-0.5942993,0.25750732
-0.82836914,-0.47369385,0.2189331
-0.96313477,-0.5774536,0.11151123
-0.76049805,-0.5549927,0.26239014
-0.8486328,-0.56134033,0.2399292
-0.85791016,-0.4746704,0.24017334
-0.810791,-0.45440674,0.39422607
-0.7800293,-0.6589966,0.2929077
-0.81591797,-0.47149658,0.21282959
-0.86376953,-0.5371704,0.22283936
-0.7800293,-0.50982666,0.3866577
-0.796875,-0.6445923,0.25604248
-0.81030273,-0.5005493,0.20794678
-0.888916,-0.57159424,0.23846436
-0.8366699,-0.59039307,0.25946045
-0.8227539,-0.5640259,0.29364014
-0.8564453,-0.51446533,0.23553467
-0.85058594,-0.53375244,0.21307373
-0.9001465,-0.5071411,0.21795654
-0.86083984,-0.54766846,0.23895264
-0.92944336,-0.536438,0.04144287
-0.80810547,-0.5454712,0.20526123
-0.88183594,-0.57647705,0.22991943
-0.81884766,-0.48443604,0.20233154
-0.8959961,-0.5479126,0.19818115
-0.8742676,-0.5755005,0.16595459
-0.80493164,-0.52838135,0.26605225
-0.8515625,-0.55792236,0.23577881
-0.8688965,-0.4854126,0.16473389
-0.8798828,-0.59039307,0.19989014
-0.8117676,-0.56817627,0.27215576
-0.8432617,-0.5315552,0.21380615
-0.8395996,-0.47784424,0.20916748
-0.8847656,-0.6043091,0.2579956
-0.85058594,-0.49713135,0.25115967
-0.84814453,-0.5081177,0.24505615
-0.87109375,-0.4968872,0.2453003
-0.8742676,-0.49102783,0.24822998
-0.8840332,-0.47247314,0.2584839
-0.87353516,-0.4541626,0.2526245
-0.88134766,-0.4570923,0.23480225
-0.8395996,-0.49346924,0.307312
-0.84643555,-0.5281372,0.29486084
-0.8601074,-0.5003052,0.23040771
-0.8395996,-0.4829712,0.24578857
-0.9399414,-0.51568604,0.21453857
-0.8059082,-0.5767212,0.33221436
-0.9128418,-0.5484009,0.25579834
-0.80371094,-0.48931885,0.21795654
-0.88012695,-0.52423096,0.23846436
-0.85913086,-0.50982666,0.25897217
-0.86376953,-0.49395752,0.2616577
-0.98779297,-0.4920044,0.1161499
-0.7573242,-0.56427,0.2140503
-0.91430664,-0.55841064,0.2789917
-0.8520508,-0.41949463,0.1942749
-0.8977051,-0.41729736,0.30877686
-0.8105469,-0.6565552,0.28607178
-0.888916,-0.42681885,0.17230225
-1.0578613,-0.5437622,-0.016174316
-0.7927246,-0.6680298,0.16204834
-0.96850586,-0.5784302,0.27874756
-0.80615234,-0.4060669,0.2489624
-0.8769531,-0.5615845,0.27825928
-0.84521484,-0.52593994,0.31585693
-0.8444824,-0.49835205,0.27557373
-0.85546875,-0.5142212,0.27166748
-0.8718262,-0.4993286,0.26287842
-0.8769531,-0.51812744,0.262146
-0.89404297,-0.40899658,0.19085693
-0.8630371,-0.49664307,0.26239014
-0.86328125,-0.5293579,0.26971436
-0.84521484,-0.45977783,0.24749756
-0.85375977,-0.54107666,0.26263428
-0.8376465,-0.53741455,0.31781006
-0.82421875,-0.55059814,0.2868042
-0.84643555,-0.5215454,0.2374878
-0.8803711,-0.5339966,0.24554443
-0.8676758,-0.5588989,0.35736084
-0.8444824,-0.5935669,0.2819214
-0.8322754,-0.4837036,0.2411499
-0.84716797,-0.52423096,0.25994873
-0.81884766,-0.55792236,0.28997803
-0.8630371,-0.5315552,0.24945068
-0.8574219,-0.50006104,0.26019287
-0.87158203,-0.5601196,0.2543335
-0.82958984,-0.5315552,0.27215576
-0.8718262,-0.5117798,0.24578857
-0.86157227,-0.4631958,0.23773193
-0.86450195,-0.5112915,0.28656006
-0.86450195,-0.5117798,0.27581787
-0.8562012,-0.48638916,0.2723999
-0.86157227,-0.5027466,0.27288818
-0.87060547,-0.49761963,0.26922607
-0.9482422,-0.4019165,0.1293335
-0.7687988,-0.6758423,0.2579956
-0.94262695,-0.5081177,0.30804443
-0.8317871,-0.4192505,0.2538452
-0.86328125,-0.51885986,0.23431396
-0.9086914,-0.5132446,0.24359131
-0.83691406,-0.5442505,0.2880249
-0.8835449,-0.47369385,0.2374878
-0.86987305,-0.46099854,0.20697021
-0.9567871,-0.5352173,0.23651123
-0.9165039,-0.45611572,0.26898193
-0.8991699,-0.3965454,0.32537842
-0.861084,-0.35186768,0.37664795
-0.8605957,-0.300354,0.3859253
-0.9099121,-0.3213501,0.34124756
-0.89746094,-0.46392822,0.37957764
-0.90625,-0.44488525,0.29632568
-0.907959,-0.3706665,0.31048584
-0.87280273,-0.42681885,0.42669678
-0.83325195,-0.3772583,0.4484253
-0.87524414,-0.3789673,0.50042725
-0.8171387,-0.31695557,0.48602295
-0.8574219,-0.30426025,0.51727295
-0.83203125,-0.27667236,0.5199585
-0.8449707,-0.3850708,0.5807495
-0.8051758,-0.28155518,0.5067749
-0.8378906,-0.30743408,0.5516968
-0.83203125,-0.364563,0.61273193
-0.83496094,-0.29986572,0.60076904
-0.7890625,-0.23565674,0.6244507
-0.76782227,-0.2354126,0.63494873
-0.765625,-0.25543213,0.62298584
-0.7944336,-0.27105713,0.6281128
-0.82055664,-0.27667236,0.61395264
-0.8178711,-0.20123291,0.5753784
-0.77783203,-0.20440674,0.61639404
-0.8388672,-0.32037354,0.61932373
-0.85253906,-0.34283447,0.61761475
-0.8161621,-0.18878174,0.5817261
-0.81933594,-0.39337158,0.5861206
-0.845459,-0.2456665,0.5800171
-0.796875,-0.28741455,0.60858154
-0.79833984,-0.30792236,0.5866089
-0.80859375,-0.26226807,0.6129761
-0.82006836,-0.32843018,0.6161499
-0.7944336,-0.26763916,0.61834717
-0.7644043,-0.20831299,0.555603
-0.7644043,-0.27642822,0.74505615
-0.86987305,-0.38897705,0.61517334
-0.75634766,-0.22296143,0.52557373
-0.8010254,-0.2420044,0.60028076
-0.8671875,-0.2954712,0.6635132
-0.75219727,-0.33062744,0.6503296
-0.8586426,-0.32647705,0.52557373
-0.7524414,-0.22393799,0.5668335
-0.8498535,-0.29962158,0.59198
-0.9572754,-0.30010986,0.4015503
-0.7578125,-0.30474854,0.62493896
-0.8955078,-0.32232666,0.54803467
-0.76171875,-0.23858643,0.52337646
-0.88427734,-0.37506104,0.539978
-0.88134766,-0.28399658,0.5516968
-0.84765625,-0.333313,0.48724365
-0.8671875,-0.2937622,0.5621948
-0.8215332,-0.3430786,0.54119873
-0.8027344,-0.2966919,0.53411865
-0.88061523,-0.333313,0.5614624
-0.8574219,-0.2913208,0.49847412
-0.8388672,-0.2786255,0.5363159
-0.86499023,-0.3394165,0.53289795
-0.88378906,-0.47369385,0.38397217
-0.8869629,-0.29278564,0.47332764
-0.85498047,-0.3045044,0.45819092
-0.8105469,-0.25274658,0.49090576
-0.873291,-0.348938,0.55755615
-0.84643555,-0.29937744,0.5409546
-0.76831055,-0.3250122,0.6654663
-0.8569336,-0.35723877,0.5961304
-0.8347168,-0.28985596,0.5231323
-0.83374023,-0.28912354,0.5543823
-0.81347656,-0.31793213,0.5722046
-0.83496094,-0.2781372,0.5223999
-0.73046875,-0.4421997,0.62493896
-0.84594727,-0.38067627,0.52020264
-0.8605957,-0.24932861,0.46795654
-0.921875,-0.26885986,0.5109253
-0.85302734,-0.394104,0.48162842
-0.9987793,-0.23199463,0.3295288
-0.85302734,-0.34820557,0.5368042
-0.92407227,-0.35650635,0.43914795
-0.7578125,-0.1819458,0.3685913
-0.88500977,-0.40631104,0.6034546
-0.9030762,-0.47930908,0.48260498
-0.89038086,-0.2468872,0.45062256
-0.92163086,-0.3809204,0.4545288
-0.8725586,-0.333313,0.47943115
-0.89208984,-0.3008423,0.46063232
-0.8166504,-0.27789307,0.47601318
-0.8642578,-0.34161377,0.37542725
-0.82470703,-0.458313,0.5758667
-0.9226074,-0.35894775,0.4664917
-0.81274414,-0.32965088,0.44744873
-0.84936523,-0.37774658,0.5006714
-0.93066406,-0.29278564,0.45306396
-0.85302734,-0.3538208,0.4767456
-0.8647461,-0.3526001,0.46844482
-0.88623047,-0.27349854,0.38031006
-0.8894043,-0.34820557,0.50042725
-0.8791504,-0.40264893,0.5050659
-0.79785156,-0.27374268,0.41815186
-0.9230957,-0.34649658,0.465271
-0.85131836,-0.35528564,0.5084839
-0.84887695,-0.35235596,0.51361084
-0.8730469,-0.35821533,0.48065186
-0.76464844,-0.2979126,0.48553467
-0.85058594,-0.38067627,0.5165405
-0.8569336,-0.28790283,0.5265503
-0.8757324,-0.27496338,0.45526123
-0.9086914,-0.4512329,0.46600342
-0.93896484,-0.43170166,0.4887085
-0.8046875,-0.2859497,0.40838623
-0.8647461,-0.3394165,0.4418335
-1.0183105,-0.42388916,0.3468628
-0.85791016,-0.35528564,0.43084717
-0.8754883,-0.24517822,0.42645264
-0.84033203,-0.32525635,0.47625732
-0.6660156,-0.5088501,0.7345581
-0.95751953,-0.45025635,0.4520874
-0.8833008,-0.41656494,0.5355835
-0.7895508,-0.2966919,0.4220581
-0.90893555,-0.33892822,0.42791748
-0.84399414,-0.44439697,0.6051636
-0.91918945,-0.41363525,0.5023804
-0.7624512,-0.30010986,0.36273193
-0.8400879,-0.31427002,0.4928589
-0.9057617,-0.4072876,0.5165405
-0.85717773,-0.37164307,0.48187256
-0.7932129,-0.33428955,0.48162842
-0.85253906,-0.395813,0.48138428
-0.8486328,-0.3555298,0.48138428
-0.84350586,-0.31329346,0.5026245
-0.8640137,-0.37139893,0.52923584
-0.8371582,-0.35699463,0.49749756
-0.842041,-0.34796143,0.4887085
-0.8598633,-0.35235596,0.480896
-0.86157227,-0.3604126,0.50701904
-0.8684082,-0.35992432,0.5084839
-0.81396484,-0.3189087,0.50042725
-0.8388672,-0.34820557,0.5097046
-0.8527832,-0.38067627,0.5067749
-0.91845703,-0.40777588,0.36810303
-0.9602051,-0.38824463,0.3522339
-0.8881836,-0.44683838,0.37420654
-0.85913086,-0.4060669,0.38323975
-0.8664551,-0.41680908,0.3912964
-0.8601074,-0.3460083,0.33148193
-0.88964844,-0.41680908,0.36883545
-0.89282227,-0.40997314,0.3986206
-0.8676758,-0.37261963,0.39666748
-0.8508301,-0.3616333,0.40716553
-0.8703613,-0.36431885,0.3925171
-0.92749023,-0.39678955,0.34222412
-0.8359375,-0.41705322,0.44378662
-0.9206543,-0.4763794,0.43572998
-0.85498047,-0.3267212,0.3649292
-0.89575195,-0.37799072,0.39056396
-0.8527832,-0.40509033,0.49847412
-0.87158203,-0.44244385,0.4237671
-0.8496094,-0.28009033,0.32659912
-0.873291,-0.45318604,0.4706421
-0.92626953,-0.46710205,0.37225342
-0.88500977,-0.3171997,0.3397827
-0.9267578,-0.37652588,0.37347412
-0.97436523,-0.35357666,0.2946167
-0.82543945,-0.37042236,0.39154053
-0.90722656,-0.3501587,0.36688232
-0.9016113,-0.3352661,0.3241577
-0.888916,-0.4043579,0.3805542
-0.9250488,-0.2876587,0.29412842
-0.8911133,-0.36090088,0.494812
-0.9406738,-0.4981079,0.36810303
-0.8552246,-0.23516846,0.20257568
-0.80322266,-0.41900635,0.49432373
-0.98828125,-0.3965454,0.42279053
-0.92211914,-0.34088135,0.2753296
-0.91308594,-0.39093018,0.33148193
-0.90966797,-0.27301025,0.25897217
-0.7751465,-0.28863525,0.664978
-0.9350586,-0.5081177,0.45135498
-0.70947266,-0.27178955,0.32855225
-0.9597168,-0.3826294,0.3324585
-0.9375,-0.37872314,0.39105225
-0.8754883,-0.33233643,0.3764038
-0.87353516,-0.378479,0.45135498
-0.8737793,-0.409729,0.41937256
