accelX,accelY,accelZ
-0.2705078,-0.95684814,-0.16021729
-0.2770996,-0.9636841,-0.14874268
-0.24853516,-0.9458618,-0.14312744
-0.28466797,-0.9500122,-0.15484619
-0.2631836,-0.9446411,-0.13360596
-0.24145508,-0.9373169,-0.1519165
-0.27148438,-0.96466064,-0.13165283
-0.2841797,-0.95025635,-0.13433838
-0.28466797,-0.95440674,-0.15557861
-0.26220703,-0.9212036,-0.18048096
-0.28173828,-0.93218994,-0.1572876
-0.29541016,-0.97662354,-0.16290283
-0.29711914,-0.9356079,-0.15777588
-0.31567383,-0.94244385,-0.1609497
-0.30541992,-0.98394775,-0.14727783
-0.29345703,-0.96832275,-0.14093018
-0.31030273,-0.95196533,-0.15093994
-0.3154297,-0.9524536,-0.16973877
-0.29589844,-0.97735596,-0.17486572
-0.29516602,-0.9522095,-0.16265869
-0.296875,-0.9636841,-0.18365479
-0.28564453,-0.9451294,-0.18121338
-0.28344727,-0.944397,-0.17486572
-0.29541016,-0.9751587,-0.1819458
-0.29760742,-0.9590454,-0.20367432
-0.29174805,-0.96466064,-0.17974854
-0.29663086,-0.9356079,-0.19586182
-0.28833008,-0.94488525,-0.20220947
-0.29101562,-0.9216919,-0.21929932
-0.29785156,-0.9685669,-0.19464111
-0.27001953,-0.92852783,-0.21295166
-0.28735352,-0.9463501,-0.1843872
-0.29370117,-0.9553833,-0.20245361
-0.27734375,-0.91241455,-0.21392822
-0.28857422,-0.95391846,-0.2263794
-0.28295898,-0.92388916,-0.21636963
-0.27172852,-0.9434204,-0.24176025
-0.2775879,-0.9260864,-0.23980713
-0.2578125,-0.9290161,-0.24835205
-0.26049805,-0.92510986,-0.25177002
-0.28588867,-0.9356079,-0.26641846
-0.2927246,-0.93536377,-0.2954712
-0.28466797,-0.91851807,-0.2769165
-0.27978516,-0.911438,-0.30743408
-0.2746582,-0.92022705,-0.27716064
-0.28588867,-0.92266846,-0.2774048
-0.2854004,-0.9055786,-0.30743408
-0.30664062,-0.9380493,-0.27008057
