accelX,accelY,accelZ
-0.5715332,-0.097961426,-0.79229736
-0.56933594,-0.101623535,-0.7839966
-0.5732422,-0.10333252,-0.78790283
-0.5661621,-0.09283447,-0.78863525
-0.56884766,-0.09112549,-0.79156494
-0.56152344,-0.09503174,-0.78692627
-0.5678711,-0.085510254,-0.79107666
-0.564209,-0.09283447,-0.7866821
-0.5605469,-0.10064697,-0.80010986
-0.560791,-0.09429932,-0.7822876
-0.56347656,-0.10064697,-0.8110962
-0.55908203,-0.101379395,-0.78741455
-0.56518555,-0.08917236,-0.79522705
-0.5751953,-0.097229004,-0.7908325
-0.56396484,-0.09820557,-0.7954712
-0.5595703,-0.09283447,-0.7954712
-0.56640625,-0.0947876,-0.79888916
-0.56225586,-0.09576416,-0.7793579
-0.56396484,-0.10064697,-0.7852173
-0.56274414,-0.09210205,-0.7971802
-0.5632324,-0.09429932,-0.79351807
-0.5571289,-0.0960083,-0.79278564
-0.56103516,-0.09649658,-0.78497314
-0.5529785,-0.101623535,-0.800354
-0.55615234,-0.097717285,-0.81427
-0.5498047,-0.101623535,-0.8101196
-0.55444336,-0.090148926,-0.79278564
-0.55444336,-0.093811035,-0.7979126
-0.55249023,-0.101135254,-0.8088989
-0.5654297,-0.11187744,-0.7971802
-0.5527344,-0.10455322,-0.8023071
-0.55615234,-0.09649658,-0.79815674
-0.5505371,-0.10064697,-0.8088989
-0.5578613,-0.09918213,-0.7925415
-0.5539551,-0.10015869,-0.79034424
-0.55737305,-0.10040283,-0.7944946
-0.5617676,-0.10626221,-0.79644775
-0.5632324,-0.101623535,-0.79766846
-0.56469727,-0.10357666,-0.7866821
-0.5593262,-0.10797119,-0.8045044
-0.5588379,-0.10601807,-0.80841064
-0.55688477,-0.09991455,-0.7954712
-0.56689453,-0.10601807,-0.7918091
-0.55810547,-0.10650635,-0.79693604
-0.5605469,-0.09088135,-0.78790283
-0.5583496,-0.10430908,-0.7913208
-0.5632324,-0.10015869,-0.7752075
-0.5498047,-0.10040283,-0.79815674
-0.55566406,-0.10015869,-0.786438
-0.57006836,-0.10748291,-0.7896118
-0.5793457,-0.1116333,-0.7817993
-0.56640625,-0.11993408,-0.7893677
-0.5734863,-0.112854004,-0.78448486
-0.57006836,-0.11871338,-0.78741455
-0.57006836,-0.12310791,-0.7842407
-0.55322266,-0.12359619,-0.7854614
-0.54785156,-0.11212158,-0.8064575
-0.5488281,-0.109191895,-0.80963135
-0.5402832,-0.10748291,-0.8130493
-0.5476074,-0.11090088,-0.8057251
-0.5390625,-0.09942627,-0.8101196
-0.5463867,-0.10308838,-0.8040161
-0.5456543,-0.105041504,-0.79473877
-0.5402832,-0.10089111,-0.80841064
-0.5522461,-0.09918213,-0.80426025
-0.5456543,-0.09576416,-0.80181885
-0.54589844,-0.097473145,-0.7920532
-0.5522461,-0.0881958,-0.802063
-0.5546875,-0.09283447,-0.79522705
-0.5637207,-0.09063721,-0.79937744
-0.54785156,-0.09088135,-0.80255127
-0.5637207,-0.09136963,-0.7776489
-0.5588379,-0.09649658,-0.788147
-0.5546875,-0.09185791,-0.79107666
-0.56030273,-0.08648682,-0.79766846
-0.5644531,-0.09161377,-0.7842407
-0.5600586,-0.08746338,-0.7918091
-0.5588379,-0.0947876,-0.7932739
-0.5593262,-0.09283447,-0.78912354
-0.5551758,-0.09185791,-0.80792236
-0.55737305,-0.082336426,-0.80352783
-0.5632324,-0.08892822,-0.79888916
-0.5617676,-0.0960083,-0.7918091
-0.56103516,-0.09234619,-0.798645
-0.55444336,-0.097717285,-0.7984009
-0.5600586,-0.09698486,-0.7901001
-0.560791,-0.09307861,-0.7913208
-0.5576172,-0.09942627,-0.7942505
-0.5517578,-0.09234619,-0.7774048
-0.560791,-0.09893799,-0.7920532
-0.5617676,-0.0960083,-0.7974243
-0.5578613,-0.09820557,-0.79766846
-0.564209,-0.1026001,-0.7962036
-0.56396484,-0.09869385,-0.7905884
-0.56591797,-0.101135254,-0.7949829
-0.5571289,-0.10601807,-0.80474854
-0.5683594,-0.09967041,-0.7918091
-0.5644531,-0.09503174,-0.81573486
-0.5649414,-0.10284424,-0.79644775
-0.5605469,-0.097717285,-0.798645
-0.56762695,-0.09283447,-0.78204346
-0.5620117,-0.09259033,-0.7901001
-0.5637207,-0.097961426,-0.7920532
-0.5698242,-0.089660645,-0.78741455
-0.5678711,-0.10333252,-0.8076782
-0.5786133,-0.09454346,-0.7593384
-0.56030273,-0.09698486,-0.8023071
-0.5703125,-0.101623535,-0.78692627
-0.576416,-0.097473145,-0.7984009
-0.5761719,-0.10430908,-0.77960205
-0.5715332,-0.10406494,-0.7888794
-0.5776367,-0.10601807,-0.78863525
-0.5703125,-0.10601807,-0.7937622
-0.5686035,-0.113098145,-0.7905884
-0.5654297,-0.11114502,-0.78082275
-0.576416,-0.112854004,-0.7647095
-0.55981445,-0.1194458,-0.77911377
-0.55810547,-0.09844971,-0.803772
-0.54711914,-0.10626221,-0.7984009
-0.5529785,-0.09918213,-0.7942505
-0.56103516,-0.09869385,-0.7954712
-0.5554199,-0.1038208,-0.803772
-0.56689453,-0.09552002,-0.78302
-0.5578613,-0.10015869,-0.7942505
-0.55981445,-0.10308838,-0.79644775
-0.5554199,-0.10040283,-0.7984009
-0.55688477,-0.09844971,-0.80718994
-0.55126953,-0.09185791,-0.79815674
-0.5517578,-0.093811035,-0.80255127
-0.55908203,-0.09844971,-0.7925415
-0.5600586,-0.09259033,-0.8062134
-0.5571289,-0.09112549,-0.79644775
-0.56030273,-0.09698486,-0.7954712
-0.55737305,-0.09234619,-0.78790283
-0.56347656,-0.093322754,-0.8064575
-0.5554199,-0.09307861,-0.79571533
-0.5559082,-0.093811035,-0.8052368
-0.5571289,-0.10015869,-0.7925415
-0.54785156,-0.09454346,-0.8062134
-0.5488281,-0.093566895,-0.8049927
-0.5595703,-0.101135254,-0.7971802
-0.5595703,-0.09185791,-0.79693604
-0.5527344,-0.08721924,-0.80303955
-0.5554199,-0.09698486,-0.7991333
-0.5588379,-0.09210205,-0.8015747
-0.55688477,-0.101379395,-0.7871704
-0.5546875,-0.09503174,-0.80670166
-0.54467773,-0.09210205,-0.78985596
-0.5517578,-0.09942627,-0.78570557
-0.5620117,-0.09112549,-0.79815674
